,C,F,H,N,O,C2_0.5,C2_0.6,C2_0.7,C2_0.8,C2_0.9,C2_1.0,C2_1.1,C2_1.2,C2_1.3,C2_1.4,C2_1.5,C2_1.6,C2_1.7,C2_1.8,C2_1.9,C2_2.0,C2_2.2,C2_2.4,C2_2.6,C2_2.8,C2_3.0,C2_3.5,C2_4.0,F2_0.5,F2_0.6,F2_0.7,F2_0.8,F2_0.9,F2_1.0,F2_1.1,F2_1.2,F2_1.3,F2_1.4,F2_1.5,F2_1.6,F2_1.7,F2_1.8,F2_1.9,F2_2.0,F2_2.2,F2_2.4,F2_2.6,F2_2.8,F2_3.0,F2_3.5,F2_4.0,H2O_0.5,H2O_0.6,H2O_0.7,H2O_0.8,H2O_0.9,H2O_1.0,H2O_1.1,H2O_1.2,H2O_1.3,H2O_1.4,H2O_1.5,H2O_1.6,H2O_1.7,H2O_1.8,H2O_1.9,H2O_2.0,H2O_2.2,H2O_2.4,H2O_2.6,H2O_2.8,H2O_3.0,H2O_3.5,H2O_4.0,H6_0.5,H6_0.6,H6_0.7,H6_0.8,H6_0.9,H6_1.0,H6_1.1,H6_1.2,H6_1.3,H6_1.4,H6_1.5,H6_1.6,H6_1.7,H6_1.8,H6_1.9,H6_2.0,H6_2.2,H6_2.4,H6_2.6,H6_2.8,H6_3.0,H6_3.5,H6_4.0,N2_0.5,N2_0.6,N2_0.7,N2_0.8,N2_0.9,N2_1.0,N2_1.1,N2_1.2,N2_1.3,N2_1.4,N2_1.5,N2_1.6,N2_1.7,N2_1.8,N2_1.9,N2_2.0,N2_2.2,N2_2.4,N2_2.6,N2_2.8,N2_3.0,N2_3.5,N2_4.0
eng_exx_HF,-5.060216968282668,-10.005115482372654,-0.30841883227995326,-6.583925537135135,-8.18605194127666,-11.150697896262056,-11.092584026789611,-11.007668919549547,-10.829837093965489,-10.651126691668646,-10.488182651735242,-10.343763445884036,-10.217975817319429,-10.124129565368001,-10.068410874351441,-10.019680202996621,-10.009486809935074,-9.960786301671094,-9.917734283664197,-9.8796803456491,-9.877401668557882,-9.964840204083611,-9.994866065934106,-10.039114593665744,-10.070498218426541,-10.017768808967473,-10.053347193929707,-10.063256008020993,-21.629595857032506,-21.282979514202317,-20.984641796999753,-20.73071216118613,-20.5175647110343,-20.341666012864437,-20.1975594556423,-20.079992031400373,-19.984736635140436,-19.908198282395727,-19.847123540102192,-19.79857452508272,-19.845770916203538,-19.90065190018701,-19.93622294937234,-19.95840461790443,-19.98437560530345,-19.99745080538229,-20.004048162282263,-20.007404349396012,-20.00859660690408,-20.009782171601124,-20.01009080072214,-9.70434275569239,-9.47095454313853,-9.278640238951066,-9.120448446063044,-8.989521185362486,-8.880074617510756,-8.787571253145398,-8.708558359277262,-8.640479150139123,-8.5815570617493,-8.530368321724692,-8.501237760576089,-8.545967563394079,-8.592426558579705,-8.633570803478255,-8.667173329804726,-8.714638828377032,-8.74464378434669,-8.71292710569217,-8.778121663771426,-8.787252908566275,-8.75479121296897,-8.801653506205447,-2.648303594658564,-2.446135331662961,-2.2704011129591435,-2.1186452643846554,-1.9875587997964879,-1.8739537026383586,-1.7750630239627454,-1.6885819903957624,-1.612626102020688,-1.545657958698518,-1.4864218616720986,-1.4554595429706811,-1.4976589299736895,-1.5408689387957453,-1.5836593086993274,-1.6247413412643315,-1.6971337363076806,-1.7516357119785249,-1.788225748567304,-1.811241051471074,-1.8254218878995385,-1.8508453789484505,-1.8507798309372965,-14.665624017040724,-14.323334529697808,-13.98575574903791,-13.69684224339615,-13.45750222094169,-13.260058608430208,-13.096232451988914,-12.959110760159868,-12.843341386795842,-12.744869371991763,-12.80078647691856,-12.854463581582635,-12.89277408798566,-12.92587529229934,-12.96311349921761,-13.00432013718107,-13.073255758655824,-13.114822629608035,-13.137856736763801,-12.99718786362235,-13.15762706311703,-13.164845405653763,-13.031360494685703
eng_nuc,0.0,0.0,0.0,0.0,0.0,38.100759186240005,31.7506326552,27.214827990171436,23.8129744914,21.1670884368,19.050379593120002,17.31852690283636,15.8753163276,14.654138148553848,13.607413995085718,12.700253062080002,11.9064872457,11.206105643011766,10.5835442184,10.026515575326316,9.525189796560001,8.65926345141818,7.9376581638,7.327069074276924,6.803706997542859,6.350126531040001,5.442965598034286,4.762594898280001,85.72670816904001,71.43892347420001,61.233362977885726,53.57919260564999,47.6259489828,42.863354084520005,38.96668553138181,35.719461737100005,32.971810834246156,30.616681488942863,28.57556938968,26.789596302824997,25.213737696776473,23.8129744914,22.55966004448421,21.431677042260002,19.483342765690907,17.859730868550002,16.485905417123078,15.308340744471431,14.28778469484,12.246672595577143,10.715838521130001,17.60293113745093,14.669109281209106,12.573522241036379,11.00183196090683,9.779406187472738,8.801465568725465,8.001332335204967,7.334554640604553,6.770358129788818,6.2867611205181895,5.867643712483641,5.500915980453415,5.177332687485567,4.889703093736369,4.632350299329191,4.400732784362733,4.000666167602484,3.6672773203022766,3.385179064894409,3.1433805602590947,2.9338218562418206,2.5147044482072753,2.2003663921813663,11.603905425884136,9.669921188236772,8.288503875631521,7.252440891177581,6.446614125491183,5.801952712942068,5.2745024663109685,4.834960594118386,4.463040548416972,4.144251937815761,3.867968475294709,3.6262204455887903,3.412913360554157,3.2233070627455915,3.0536593226010864,2.900976356471034,2.6372512331554843,2.417480297059193,2.231520274208486,2.0721259689078804,1.9339842376473546,1.657700775126304,1.450488178235517,51.85936667016001,43.2161388918,37.042404764400004,32.41210416885001,28.810759261199998,25.929683335080004,23.572439395527272,21.6080694459,19.945910257753848,18.521202382200002,17.28645555672,16.206052084425004,15.252754902988238,14.405379630599999,13.647201755305264,12.964841667540002,11.786219697763636,10.80403472295,9.972955128876924,9.260601191100001,8.64322777836,7.4084809528800015,6.482420833770001
eng_hcore,-50.47779511100434,-139.17823488240475,-0.49960207280445945,-73.95136317462767,-103.2321059180835,-163.64757230330056,-156.9237552622561,-151.70701996432928,-146.78061713752015,-142.43852847597157,-138.6769508605897,-135.4238105068709,-132.60408253566337,-130.08375373840184,-128.0072561044127,-126.19209308725519,-124.60945777817334,-123.22354860177893,-121.9833965843481,-120.86740122946513,-119.8730964199723,-118.1675730779698,-116.74776207715756,-115.55268882040602,-114.52531952539616,-113.5585174161146,-111.76298863845422,-110.40138964534248,-422.5071991710253,-406.18183233701814,-392.2947301282665,-380.55557254337305,-370.6335067779104,-362.2398004272881,-355.107580036705,-349.0038450550894,-343.737462531275,-339.1573704051773,-335.1452658697478,-331.60774452639134,-328.5013019179159,-325.740883778098,-323.26642649113296,-321.0398998864703,-317.1931363226057,-313.98625039743274,-311.26900965516165,-308.95097190705644,-306.91392713628676,-302.838832772399,-299.78105694075987,-135.25344237539213,-131.58157068902764,-128.59421468347057,-126.14014596294349,-124.10063664503699,-122.38421146617102,-120.92142266811679,-119.66031885126507,-118.56204038107988,-117.59824043882143,-116.74680523411536,-115.97648967137073,-115.23289634743374,-114.57045971520385,-113.97916835941709,-113.4485008380807,-112.53460266964812,-111.77685579491174,-111.16159571889071,-110.60682465590594,-110.15204746198071,-109.2413955242538,-108.63321427884208,-22.26763690553499,-20.164791569233124,-18.42525900594619,-16.96865079204927,-15.734718550729859,-14.678235410041982,-13.764957648627332,-12.968679928104962,-12.269107079630567,-11.650322751356546,-11.099700620538393,-10.596448892529608,-10.115223595557563,-9.686295719365587,-9.302622383353416,-8.958420983748729,-8.369955702931561,-7.889768244814374,-7.49300589362163,-7.159854360183098,-6.875494530181963,-6.312370506822894,-5.898538295481488,-237.42647377855934,-227.01746805705488,-218.09192965745646,-210.5931349524505,-204.29845039379992,-198.99219197088067,-194.492973046295,-190.6537514349718,-187.35579988693445,-184.50262743270363,-182.0781248090415,-179.97445068381654,-178.12167025738887,-176.47579517720246,-175.00529840473146,-173.68276776383067,-171.38860400641047,-169.46042895754,-167.81814878925763,-166.2430020933735,-165.17653073020256,-162.71489833815983,-160.71110280594814
eng_j,17.848605141410204,49.77473277939276,0.30841883227995326,26.135419728319977,36.605734543957816,65.57569372435461,63.40520511527252,61.44788134555161,59.023159848865056,56.746168682731984,54.734480269253375,52.98356333831342,51.46515412095007,50.071060112711805,48.99316763591061,48.05826247891654,47.27259814304314,46.57082343885589,45.94407652789034,45.380719023058155,44.90301750858502,44.133861494461094,43.46678062227694,42.91403385731316,42.430718266142115,41.910223937053395,41.04466864175513,40.37013041826786,167.5457189012973,161.32897561821736,155.38284192633284,150.00947438031048,145.27955084310292,141.18589773941915,137.66271150648384,134.62465441844333,131.99122042769022,129.69498243028428,127.68137648082863,125.90614581882879,124.40256784759275,123.07057227758466,121.86658722026702,120.77855771762347,118.89193997140538,117.31429280167366,115.97354829462606,114.83446971460634,113.81823538886592,111.78475116885824,110.25803816902524,52.78895045897678,50.96032857645608,49.474292359915864,48.259672823434315,47.25483411877686,46.41064700892218,45.689815082596546,45.065206174627384,44.51739712213909,44.033519046304654,43.6036783245148,43.21511052522206,42.84574829622949,42.514650035580765,42.215923803409645,41.944092594990266,41.46665869740997,41.063737897773834,40.73375206309204,40.43947322423246,40.199841097517826,39.70928771589189,39.423266376801124,11.230230295225628,10.236906215313423,9.385107743296679,8.657437685815985,8.03383091839196,7.496293304360487,7.029868646029029,6.622473926744729,6.264430485311121,5.947974242436715,5.666851652427066,5.418874672765587,5.207337138813477,5.019716492597404,4.852630586429515,4.703214180332242,4.447738586028877,4.236892217430128,4.058802587969622,3.9055778451254692,3.7720322172976104,3.5087902489578706,3.3014251433985327,96.67637197879165,91.7905470477477,87.25227854417062,83.37042792473325,80.1036590961549,77.35707649250493,75.03933576244773,73.073190294922,71.39492170815748,69.95187038864343,68.83603875660829,67.87588462612023,67.02375118066497,66.26408891083435,65.58772318558378,64.98062492186236,63.9129034452625,62.992880558177816,62.19532347467138,61.31016197571763,60.89492429497825,59.67242744102781,58.57880870291427
eng_noxc,-32.62918996959414,-89.40350210301199,-0.1911832405245062,-47.8159434463077,-66.62637137412568,-59.97111939270596,-61.767917491783564,-63.044310628606226,-63.9444827972551,-64.52527135643959,-64.89209099821633,-65.12172026572111,-65.2636120871133,-65.35855547713619,-65.40667447341637,-65.43357754625865,-65.43037238943019,-65.44661951991128,-65.45577583805778,-65.46016663108065,-65.44488911482728,-65.37444813209052,-65.34332329108062,-65.31158588881594,-65.29089426171117,-65.29816694802119,-65.2753543986648,-65.26866432879461,-169.234772100688,-173.41393324460077,-175.67852522404792,-176.96690555741256,-177.7280069520075,-178.190548603349,-178.47818299883932,-178.65972889954608,-178.7744312693386,-178.84570648595016,-178.88831999923917,-178.91200240473756,-178.88499637354664,-178.85733700911337,-178.84017922638174,-178.82966512658686,-178.81785358550943,-178.81222672720907,-178.8095559434125,-178.80816144797868,-178.80790705258084,-178.8074090079636,-178.8071802506046,-64.86156077896442,-65.95213283136246,-66.54640008251832,-66.87864117860235,-67.06639633878737,-67.17209888852338,-67.23027525031529,-67.26055803603313,-67.27428512915198,-67.27796027199858,-67.27548319711691,-67.26046316569526,-67.20981536371869,-67.16610658588672,-67.13089425667826,-67.10367545872771,-67.06727780463567,-67.04584057683563,-67.04266459090427,-67.02397087141439,-67.01838450822106,-67.01740336015465,-67.00958150985959,0.566498815574775,-0.2579641656829281,-0.7516473870179912,-1.0587722150557042,-1.2542735068467152,-1.379989392739427,-1.4605865362873347,-1.511245407241847,-1.5416360459024743,-1.5580965711040706,-1.5648804928166173,-1.5513537741752303,-1.4949730961899288,-1.4432721640225914,-1.396332474322814,-1.3542304469454534,-1.2849658837471996,-1.2353957303250525,-1.202683031443522,-1.1821505461497477,-1.1694780752369978,-1.14587948273872,-1.146624973847438,-88.89073512960769,-92.01078211750719,-93.79724634888584,-94.81060285886723,-95.38403203644503,-95.70543214329574,-95.88119788831997,-95.9724916941498,-96.01496792102313,-96.02955466186019,-95.95563049571321,-95.8925139732713,-95.84516417373565,-95.8063266357681,-95.7703734638424,-95.7373011744283,-95.68948086338433,-95.66351367641217,-95.64987018570933,-95.67223892655588,-95.6383786568643,-95.63398994425201,-95.64987326926388
eng_purexc_LDA_X,-4.480623369599247,-9.069389199304396,-0.26499474090447567,-5.889531713269486,-7.368823018798616,-10.091344723424374,-10.015496938909612,-9.920928044057932,-9.742594302454203,-9.57053794048923,-9.420376108085524,-9.292988341565872,-9.186523264191942,-9.087720295574968,-9.030580298926793,-8.983629798105067,-8.958007108087287,-8.923540410917647,-8.894708710065057,-8.870536659011249,-8.863826218619117,-8.89930131229763,-8.91167262168236,-8.930166779842956,-8.94246968925949,-8.878454895983415,-8.887593061220644,-8.890429108640193,-19.952881813776774,-19.55978254754838,-19.234029198008677,-18.967386718375167,-18.752187321658354,-18.58174769884535,-18.44827273751475,-18.344264474337308,-18.263538593978485,-18.20123072433695,-18.15349260143563,-18.117228103580782,-18.119359975882702,-18.12769825816327,-18.13229942068091,-18.134734798430063,-18.137337172335325,-18.13855873880101,-18.139034578469843,-18.139406954557913,-18.13901471102811,-18.138755230091693,-18.138741273990142,-8.81539134549913,-8.59623077666308,-8.420779726559868,-8.280305818568277,-8.167182848139342,-8.075319469434547,-8.000044382094606,-7.937825685103964,-7.886009006741005,-7.842706423424292,-7.806426822742969,-7.784105491950883,-7.801616000456761,-7.82072028195395,-7.83769960262875,-7.851270758452234,-7.869328111142143,-7.879673384817912,-7.8397061831034955,-7.890319683805094,-7.893219907269285,-7.849859812764289,-7.89825714086807,-2.400491285111036,-2.2093194826069573,-2.0471499792908903,-1.9098539242673591,-1.7933293011580747,-1.694037675005318,-1.6090823136770764,-1.5361365965344684,-1.4733391367354611,-1.4191939701961367,-1.3724890938954115,-1.344900521804405,-1.3632075239577452,-1.3849866805690203,-1.4088123344858994,-1.433357791882316,-1.4797887001527612,-1.5170364317373735,-1.543123101671888,-1.5600278015066251,-1.5706665535142184,-1.5918079989717708,-1.5907854659427358,-13.38979198699078,-13.023491205104362,-12.683741250335489,-12.404606057399116,-12.182197403448741,-12.006422894108848,-11.86770260366278,-11.75822946821133,-11.671815262895656,-11.60351975780057,-11.61982503655295,-11.639056297696774,-11.653828350652223,-11.668791827506006,-11.687551236099699,-11.70821746225622,-11.740550784226038,-11.758385326290929,-11.767578839246243,-11.608694738455727,-11.775011386373931,-11.777711339033953,-11.615558947302427
eng_purexc_LDA_C_VWN_3,-0.3579734294277146,-0.6386354299590964,-0.021980641261114122,-0.4286728700884329,-0.5329693673247934,-0.8191211964491123,-0.8034222357230462,-0.7885006238289932,-0.7784926461167306,-0.7702909134418837,-0.7637689405251682,-0.7586819475318665,-0.7547433015519857,-0.7602159682104033,-0.7564956898587073,-0.753816250868801,-0.75474187169774,-0.7526359089784023,-0.7507884880668814,-0.7491658949033261,-0.7467517653461957,-0.733592727683875,-0.7283392552572534,-0.7237940593314136,-0.7208692022197626,-0.7313493261291147,-0.7299604258765875,-0.729423167958086,-1.3430164067537629,-1.3436746372168722,-1.3374093568173013,-1.330440241664499,-1.323590986726169,-1.3173708266294837,-1.311969693942387,-1.307401843951974,-1.3036055968613396,-1.3004902400166243,-1.2979580428569786,-1.2959152362203843,-1.2911306598528958,-1.2869376498479044,-1.2840649650704217,-1.2820771810626908,-1.279717501276976,-1.2785434310601562,-1.2779477498716305,-1.2776539453106481,-1.277483150129283,-1.2773187615280224,-1.2772803315400305,-0.6939257212000002,-0.6854141186218855,-0.6779918876468847,-0.6715322641584404,-0.6658965963037095,-0.6609600838170895,-0.6566189377252531,-0.6527908444962344,-0.6494099498134345,-0.6464275328705865,-0.6437999694298224,-0.6397309248250425,-0.6285715171254481,-0.618335316454095,-0.6096059558785434,-0.6025563253108163,-0.5927263119218448,-0.5867579006611254,-0.5907272946759318,-0.5807183277385607,-0.579249904564648,-0.5849684968492782,-0.5771212029078017,-0.32962018279246963,-0.3196093964058876,-0.3102685419335621,-0.3017132199115663,-0.29394418398950733,-0.2869185100122951,-0.2805788573792035,-0.2748664706451567,-0.26972611184610734,-0.26510783587950726,-0.26096691990615095,-0.25458022862385554,-0.24014850744810895,-0.22630345239093702,-0.21306836998568243,-0.20060486922383342,-0.1788905976714323,-0.16250316947056415,-0.15132817687408512,-0.14415145480711844,-0.13964649004153085,-0.13302607815824824,-0.13228893922205018,-1.0028680864700632,-0.9908274956583341,-0.9789332483157334,-0.9684978298469188,-0.9595782719709715,-0.9520115768567206,-0.945607215153278,-0.9401924405934223,-0.9356196101543022,-0.9317632437211429,-0.9191628833013344,-0.9086253258615031,-0.9003905821046044,-0.8933037975341984,-0.8865502978087926,-0.8802559175552677,-0.8707775394516657,-0.8651612088615053,-0.8619444200649535,-0.887327000278055,-0.8590105334031248,-0.8578471991340741,-0.8857065059449936
eng_purexc_LDA_C_VWN,-0.3581237980726757,-0.6386946745150799,-0.021980641261115624,-0.4289401572603326,-0.5331214648003907,-0.8191211964491123,-0.8035077510050971,-0.7886089331131152,-0.7786068245923647,-0.7704111416382023,-0.7638943206706608,-0.7588110145795512,-0.754874265878065,-0.7602991537377766,-0.7565807602316177,-0.753899312729228,-0.7548030997296808,-0.7526959466070038,-0.7508475797634881,-0.7492242353852008,-0.7468223583668319,-0.7337685362394885,-0.72855187493162,-0.7240412171585061,-0.7211377409138284,-0.7315172655347607,-0.730138231685646,-0.729604143469022,-1.3430472671125375,-1.3436746372168722,-1.3374093568173013,-1.330440241664499,-1.323590986726169,-1.3173708266294837,-1.311969693942387,-1.307401843951974,-1.3036055968613396,-1.3004902400166243,-1.2979580428569786,-1.2959152362203843,-1.2911626751138776,-1.2869992610748688,-1.284145580262325,-1.2821701533181877,-1.279824256304545,-1.2786565311462121,-1.2780637851559726,-1.2777714468517858,-1.2776011199920625,-1.277437118244596,-1.2773987767532509,-0.6939257212000002,-0.6854141186218855,-0.6779918876468847,-0.6715322641584404,-0.6658965963037095,-0.6609600838170895,-0.6566189377252531,-0.6527908444962344,-0.6494099498134345,-0.6464275328705865,-0.6437999694298224,-0.6397477877249587,-0.6286639435657446,-0.6184703001880596,-0.6097576163357795,-0.6027117080010385,-0.5928790719392617,-0.5869085420786345,-0.5908184759858731,-0.5808692710002513,-0.579401439992481,-0.5850567019275256,-0.5772735534811683,-0.32962018279246963,-0.3196093964058876,-0.3102685419335621,-0.3017132199115663,-0.29394418398950733,-0.2869185100122951,-0.2805788573792035,-0.2748664706451567,-0.26972611184610734,-0.26510783587950726,-0.26096691990615095,-0.2546071994783606,-0.2402795850317349,-0.22651183887271523,-0.21332191585903984,-0.20087381163162255,-0.17912859114409932,-0.16267780431508394,-0.1514453177335323,-0.14422776781977167,-0.1396964134885555,-0.13303283763919804,-0.13229192759605454,-1.0028680864700632,-0.9908274956583341,-0.9789332483157334,-0.9684978298469188,-0.9595782719709715,-0.9520115768567206,-0.945607215153278,-0.9401924405934223,-0.9356196101543022,-0.9317632437211429,-0.9192624187116061,-0.9088062415672665,-0.9006315137483196,-0.8935956627684385,-0.886891958155563,-0.8806444136438749,-0.8712333483967261,-0.8656530979147109,-0.8624551222882342,-0.8876112055568467,-0.8595368560775726,-0.8583791889120327,-0.8859995759064676
eng_purexc_LDA_C_VWN_RPA,-0.47038193491504754,-0.8168587761788775,-0.03981207798556785,-0.5603632601565486,-0.6877894283653996,-1.0551302201226844,-1.0378758925993947,-1.022391005468689,-1.011603593445621,-1.002568275340924,-0.9952489557469071,-0.9894311829166642,-0.9848454740532906,-0.9903906028483869,-0.9862805580881853,-0.9833174408525336,-0.984432377983894,-0.9821016482409936,-0.980048698852681,-0.9782381810797218,-0.9755031908669218,-0.9605912129685266,-0.9546664938976241,-0.9495483450286833,-0.9462693646228855,-0.9580834777331688,-0.9565049030683679,-0.9558928760258042,-1.7052590736706943,-1.7065109858310932,-1.7000663047709392,-1.6927229132710295,-1.6854136855537865,-1.678724100949001,-1.672883371068546,-1.667922340977736,-1.6637840203583503,-1.6603762504450135,-1.657596904118458,-1.6553467065017673,-1.649778821712132,-1.6448935337556463,-1.6415633655554385,-1.6392676013644727,-1.6365499486011825,-1.6352000993091214,-1.6345146194117885,-1.6341762084400395,-1.6339760804587693,-1.633779416366267,-1.6337310922549717,-0.8917667331319032,-0.8825527636479024,-0.874490057867428,-0.867446998958337,-0.86127882715552,-0.8558551845139472,-0.8510676658756637,-0.8468304978603124,-0.8430751334703169,-0.8397510260252432,-0.8368125824587053,-0.8322171975225459,-0.819754102582593,-0.8088350587709893,-0.7998967117541941,-0.7928593433136361,-0.7831744934119941,-0.7772821775841262,-0.7822824618872619,-0.7712486710073808,-0.7697675692085314,-0.776579892625901,-0.7676106238206751,-0.4414715154065089,-0.4305192017504609,-0.4202440387404602,-0.41078869390019945,-0.4021657679318649,-0.3943372064507999,-0.38724695150982646,-0.3808358575578074,-0.37504732966707593,-0.36982973148349185,-0.36513640729728636,-0.3578915473446962,-0.3417102078210455,-0.3266791816745474,-0.31290965875900956,-0.3004987494520616,-0.2800450490962839,-0.265404685167777,-0.2556929648447427,-0.2495193931660585,-0.24564656932950052,-0.24006099851694204,-0.23931734803563892,-1.2820160341615583,-1.2690932134107087,-1.2562801106429993,-1.2450066731381244,-1.2353427628335716,-1.22712023203712,-1.2201397664169564,-1.2142197080503179,-1.2092043858393982,-1.2049613018599268,-1.1904660397247213,-1.1784139100214543,-1.1690608742059216,-1.161031781145206,-1.1533776832241864,-1.1462554565392207,-1.1356038949536893,-1.1293538415782542,-1.125796118305432,-1.1546131684262955,-1.1225618523308327,-1.1212794660946208,-1.1527707704033539
eng_purexc_LDA_C_PW,-0.3563254044657004,-0.6356338022623699,-0.02202163731196061,-0.42652064932496087,-0.5304636756996611,-0.8154651177211696,-0.7996882583267425,-0.7848319889789888,-0.7749202394323309,-0.7668060156950007,-0.7603609435430089,-0.7553415236204758,-0.7514631750903003,-0.7570569784873046,-0.7533793643452374,-0.7507405720414646,-0.7516938560869145,-0.7496175144415688,-0.7477963391215549,-0.7461968452661745,-0.7437833068451373,-0.7304863068232892,-0.7251889163761359,-0.7205952491251277,-0.717637131434407,-0.7282661265799195,-0.7268565669114513,-0.726309091806009,-1.3363819642735462,-1.3371431388990587,-1.3309177393024298,-1.3240132974345593,-1.3172370584633453,-1.3110883031983653,-1.3057522299116007,-1.301241282693373,-1.2974934718019142,-1.2944185322664785,-1.2919195308113283,-1.2899036162151463,-1.285128308949673,-1.2809388122966214,-1.2780688315992956,-1.276082667617494,-1.2737228988782625,-1.272546542812328,-1.2719485250875002,-1.2716529922832662,-1.2714815500895442,-1.271316003034917,-1.2712771774735974,-0.690750861016741,-0.6823371113379473,-0.6750045708187745,-0.6686259604285678,-0.6630627914088952,-0.6581907642195044,-0.6539066970644192,-0.6501288775282195,-0.6467920434274704,-0.6438479821484981,-0.6412535943099466,-0.6371794427831161,-0.6259056056496658,-0.6156397963640442,-0.6069383732733643,-0.5999368376884033,-0.5901929287476535,-0.5842763029453708,-0.5882923138393928,-0.5782788033956388,-0.5768178302513737,-0.5825750449392381,-0.5746969487558207,-0.32853656160840966,-0.31866235858412995,-0.3094502882111383,-0.3010126610342443,-0.2933492932893287,-0.2864174379159908,-0.2801604314756751,-0.2745203955277427,-0.2694430165396292,-0.26487925343923213,-0.2607852337414283,-0.2543736952871999,-0.23972052392489354,-0.22571163950790832,-0.21238946252503185,-0.1999131166053668,-0.17833179715479636,-0.1621596384822643,-0.15117734572217892,-0.14413982135592465,-0.13972715787700815,-0.13325459648375274,-0.13252957626655018,-0.9981515471423528,-0.9862398017994245,-0.9744763718814142,-0.9641603301828395,-0.955346891866601,-0.9478733817189391,-0.9415501688592702,-0.9362055509447836,-0.931692933763584,-0.9278878540851926,-0.9152192036223679,-0.9046229379926732,-0.8963473814174473,-0.8892263344793743,-0.8824366980362183,-0.8761051441886795,-0.866568876133947,-0.8609185861748054,-0.8576814759185827,-0.8832768582754718,-0.8547252630083786,-0.8535493752467985,-0.8816313711162169
