,RI-JK,RI-JK,RI-JK,RI-MP2,RI-MP2,RI-MP2
,xx,yy,zz,xx,yy,zz
cc-pVDZ,0.673285898035046,0.7187449546771001,1.7805216547538012,0.6519659975278935,0.6889116380001494,1.4341156441898972
cc-pVTZ,0.9308839248605494,0.9435261864550933,1.9338343722735898,0.9302697659145582,0.9206368675959763,1.6150159435296005
cc-pVQZ,1.108694864889642,1.0951151660643752,2.0282912194514324,1.1358696885686412,1.0809387600065892,1.7222627317036077
cc-pV5Z,1.2074523954473646,1.172498840579646,2.0917513517824444,1.2644474688754557,1.1675048083439565,1.8093566954848812
cc-pV6Z,1.2759141144706576,1.2243573162248207,2.1181106705387203,1.3605349183907887,1.227562025478547,1.8527292787885696
aug-cc-pVDZ,1.2767088098143466,1.217311554038221,2.1059510924867486,1.3895442569432133,1.2350069128126058,1.9850906489608375
aug-cc-pVTZ,1.33713551959964,1.276371983001444,2.139241884489043,1.4578610261272715,1.3015242987546378,1.9355325690672243
aug-cc-pVQZ,1.352348750374143,1.2904438343723466,2.1450834888190213,1.4752190379604158,1.3160938121787493,1.917403784830213
aug-cc-pV5Z,1.3541780965648318,1.2919415446605758,2.146168838101362,1.4761681966018172,1.3164225421790168,1.9098728155154048
aug-cc-pV6Z,1.3552132749494037,1.2927660251312738,2.1468012459945722,1.4774452865278909,1.317364912478785,1.9102298517592602
aug-cc-pCVDZ,1.2776483068125595,1.2173353243477907,2.1078782050226876,1.3895576691414497,1.2339275501926095,1.9844573223224158
aug-cc-pCVTZ,1.3376589494923292,1.276447545349525,2.1392030156392203,1.4553061690709923,1.2995595117376506,1.9353929346135905
aug-cc-pCVQZ,1.3524606683593403,1.2905710983662653,2.14500271333279,1.4733115776809143,1.314733390580171,1.9157717525102573
aug-cc-pCV5Z,1.3541716505298822,1.2919138385650693,2.1462163757568065,1.475088626523225,1.3155683995746204,1.9092717635071448
